namespace,value,timestamp
default,0.046652388703833904,2021-03-23T18:12:45+01:00
default,0.046652388703833904,2021-03-23T18:12:46+01:00
default,0.046652388703833904,2021-03-23T18:12:47+01:00
default,0.046652388703833904,2021-03-23T18:12:48+01:00
default,0.046652388703833904,2021-03-23T18:12:49+01:00
default,0.046652388703833904,2021-03-23T18:12:50+01:00
default,0.046652388703833904,2021-03-23T18:12:51+01:00
default,0.046652388703833904,2021-03-23T18:12:52+01:00
default,0.046652388703833904,2021-03-23T18:12:53+01:00
default,0.046652388703833904,2021-03-23T18:12:54+01:00
default,0.046652388703833904,2021-03-23T18:12:55+01:00
default,0.047030501132330094,2021-03-23T18:12:56+01:00
default,0.047030501132330094,2021-03-23T18:12:57+01:00
default,0.047030501132330094,2021-03-23T18:12:58+01:00
default,0.047030501132330094,2021-03-23T18:12:59+01:00
default,0.047030501132330094,2021-03-23T18:13:00+01:00
default,0.047030501132330094,2021-03-23T18:13:01+01:00
default,0.047030501132330094,2021-03-23T18:13:02+01:00
default,0.047030501132330094,2021-03-23T18:13:03+01:00
default,0.047030501132330094,2021-03-23T18:13:04+01:00
default,0.047030501132330094,2021-03-23T18:13:05+01:00
default,0.047030501132330094,2021-03-23T18:13:06+01:00
default,0.047030501132330094,2021-03-23T18:13:07+01:00
default,0.047030501132330094,2021-03-23T18:13:08+01:00
default,0.047030501132330094,2021-03-23T18:13:09+01:00
default,0.047030501132330094,2021-03-23T18:13:10+01:00
default,0.047030501132330094,2021-03-23T18:13:11+01:00
default,0.047030501132330094,2021-03-23T18:13:12+01:00
default,0.047030501132330094,2021-03-23T18:13:13+01:00
default,0.047030501132330094,2021-03-23T18:13:14+01:00
default,0.047030501132330094,2021-03-23T18:13:15+01:00
default,0.047030501132330094,2021-03-23T18:13:16+01:00
default,0.047030501132330094,2021-03-23T18:13:17+01:00
default,0.047030501132330094,2021-03-23T18:13:18+01:00
default,0.047030501132330094,2021-03-23T18:13:19+01:00
default,0.047030501132330094,2021-03-23T18:13:20+01:00
default,0.047030501132330094,2021-03-23T18:13:21+01:00
default,0.047030501132330094,2021-03-23T18:13:22+01:00
default,0.047030501132330094,2021-03-23T18:13:23+01:00
default,0.047030501132330094,2021-03-23T18:13:24+01:00
default,0.047030501132330094,2021-03-23T18:13:25+01:00
default,0.07249832235812569,2021-03-23T18:13:26+01:00
default,0.07249832235812569,2021-03-23T18:13:27+01:00
default,0.07249832235812569,2021-03-23T18:13:28+01:00
default,0.07249832235812569,2021-03-23T18:13:29+01:00
default,0.07249832235812569,2021-03-23T18:13:30+01:00
default,0.07249832235812569,2021-03-23T18:13:31+01:00
default,0.07249832235812569,2021-03-23T18:13:32+01:00
default,0.07249832235812569,2021-03-23T18:13:33+01:00
default,0.07249832235812569,2021-03-23T18:13:34+01:00
default,0.07249832235812569,2021-03-23T18:13:35+01:00
default,0.07249832235812569,2021-03-23T18:13:36+01:00
default,0.07249832235812569,2021-03-23T18:13:37+01:00
default,0.07249832235812569,2021-03-23T18:13:38+01:00
default,0.07249832235812569,2021-03-23T18:13:39+01:00
default,0.07249832235812569,2021-03-23T18:13:40+01:00
default,0.07249832235812569,2021-03-23T18:13:41+01:00
default,0.07249832235812569,2021-03-23T18:13:42+01:00
default,0.07249832235812569,2021-03-23T18:13:43+01:00
default,0.07249832235812569,2021-03-23T18:13:44+01:00
default,0.07249832235812569,2021-03-23T18:13:45+01:00
default,0.07249832235812569,2021-03-23T18:13:46+01:00
default,0.07249832235812569,2021-03-23T18:13:47+01:00
default,0.07249832235812569,2021-03-23T18:13:48+01:00
default,0.07249832235812569,2021-03-23T18:13:49+01:00
default,0.07249832235812569,2021-03-23T18:13:50+01:00
default,0.07249832235812569,2021-03-23T18:13:51+01:00
default,0.07249832235812569,2021-03-23T18:13:52+01:00
default,0.07249832235812569,2021-03-23T18:13:53+01:00
default,0.07249832235812569,2021-03-23T18:13:54+01:00
default,0.07249832235812569,2021-03-23T18:13:55+01:00
default,0.060907724121530026,2021-03-23T18:13:56+01:00
default,0.060907724121530026,2021-03-23T18:13:57+01:00
default,0.060907724121530026,2021-03-23T18:13:58+01:00
default,0.060907724121530026,2021-03-23T18:13:59+01:00
default,0.060907724121530026,2021-03-23T18:14:00+01:00
default,0.060907724121530026,2021-03-23T18:14:01+01:00
default,0.060907724121530026,2021-03-23T18:14:02+01:00
default,0.060907724121530026,2021-03-23T18:14:03+01:00
default,0.060907724121530026,2021-03-23T18:14:04+01:00
default,0.060907724121530026,2021-03-23T18:14:05+01:00
