namespace,value,timestamp
default,0.4190103462346877,2021-04-07T10:12:18+02:00
default,0.4190103462346877,2021-04-07T10:12:19+02:00
default,0.4190103462346877,2021-04-07T10:12:20+02:00
default,0.4190103462346877,2021-04-07T10:12:21+02:00
default,0.4190103462346877,2021-04-07T10:12:22+02:00
default,0.4190103462346877,2021-04-07T10:12:23+02:00
default,0.4190103462346877,2021-04-07T10:12:24+02:00
default,0.4190103462346877,2021-04-07T10:12:25+02:00
default,0.42043729843105343,2021-04-07T10:12:26+02:00
default,0.42043729843105343,2021-04-07T10:12:27+02:00
default,0.42043729843105343,2021-04-07T10:12:28+02:00
default,0.42043729843105343,2021-04-07T10:12:29+02:00
default,0.42043729843105343,2021-04-07T10:12:30+02:00
default,0.42043729843105343,2021-04-07T10:12:31+02:00
default,0.42043729843105343,2021-04-07T10:12:32+02:00
default,0.42043729843105343,2021-04-07T10:12:33+02:00
default,0.42043729843105343,2021-04-07T10:12:34+02:00
default,0.42043729843105343,2021-04-07T10:12:35+02:00
default,0.42043729843105343,2021-04-07T10:12:36+02:00
default,0.42043729843105343,2021-04-07T10:12:37+02:00
default,0.42043729843105343,2021-04-07T10:12:38+02:00
default,0.42043729843105343,2021-04-07T10:12:39+02:00
default,0.42043729843105343,2021-04-07T10:12:40+02:00
default,0.42043729843105343,2021-04-07T10:12:41+02:00
default,0.42043729843105343,2021-04-07T10:12:42+02:00
default,0.42043729843105343,2021-04-07T10:12:43+02:00
default,0.42043729843105343,2021-04-07T10:12:44+02:00
default,0.42043729843105343,2021-04-07T10:12:45+02:00
default,0.42043729843105343,2021-04-07T10:12:46+02:00
default,0.42043729843105343,2021-04-07T10:12:47+02:00
default,0.42043729843105343,2021-04-07T10:12:48+02:00
default,0.42043729843105343,2021-04-07T10:12:49+02:00
default,0.42043729843105343,2021-04-07T10:12:50+02:00
default,0.42043729843105343,2021-04-07T10:12:51+02:00
default,0.42043729843105343,2021-04-07T10:12:52+02:00
default,0.42043729843105343,2021-04-07T10:12:53+02:00
default,0.42043729843105343,2021-04-07T10:12:54+02:00
default,0.42043729843105343,2021-04-07T10:12:55+02:00
default,0.6329216420979553,2021-04-07T10:12:56+02:00
default,0.6329216420979553,2021-04-07T10:12:57+02:00
default,0.6329216420979553,2021-04-07T10:12:58+02:00
default,0.6329216420979553,2021-04-07T10:12:59+02:00
default,0.6329216420979553,2021-04-07T10:13:00+02:00
default,0.6329216420979553,2021-04-07T10:13:01+02:00
default,0.6329216420979553,2021-04-07T10:13:02+02:00
default,0.6329216420979553,2021-04-07T10:13:03+02:00
default,0.6329216420979553,2021-04-07T10:13:04+02:00
default,0.6329216420979553,2021-04-07T10:13:05+02:00
default,0.6329216420979553,2021-04-07T10:13:06+02:00
default,0.6329216420979553,2021-04-07T10:13:07+02:00
default,0.6329216420979553,2021-04-07T10:13:08+02:00
default,0.6329216420979553,2021-04-07T10:13:09+02:00
default,0.6329216420979553,2021-04-07T10:13:10+02:00
default,0.6329216420979553,2021-04-07T10:13:11+02:00
default,0.6329216420979553,2021-04-07T10:13:12+02:00
default,0.6329216420979553,2021-04-07T10:13:13+02:00
default,0.6329216420979553,2021-04-07T10:13:14+02:00
default,0.6329216420979553,2021-04-07T10:13:15+02:00
default,0.6329216420979553,2021-04-07T10:13:16+02:00
default,0.6329216420979553,2021-04-07T10:13:17+02:00
default,0.6329216420979553,2021-04-07T10:13:18+02:00
default,0.6329216420979553,2021-04-07T10:13:19+02:00
default,0.6329216420979553,2021-04-07T10:13:20+02:00
default,0.6329216420979553,2021-04-07T10:13:21+02:00
default,0.6329216420979553,2021-04-07T10:13:22+02:00
default,0.6329216420979553,2021-04-07T10:13:23+02:00
default,0.6329216420979553,2021-04-07T10:13:24+02:00
default,0.6329216420979553,2021-04-07T10:13:25+02:00
default,0.7108398178754226,2021-04-07T10:13:26+02:00
default,0.7108398178754226,2021-04-07T10:13:27+02:00
default,0.7108398178754226,2021-04-07T10:13:28+02:00
default,0.7108398178754226,2021-04-07T10:13:29+02:00
default,0.7108398178754226,2021-04-07T10:13:30+02:00
default,0.7108398178754226,2021-04-07T10:13:31+02:00
default,0.7108398178754226,2021-04-07T10:13:32+02:00
default,0.7108398178754226,2021-04-07T10:13:33+02:00
default,0.7108398178754226,2021-04-07T10:13:34+02:00
default,0.7108398178754226,2021-04-07T10:13:35+02:00
default,0.7108398178754226,2021-04-07T10:13:36+02:00
default,0.7108398178754226,2021-04-07T10:13:37+02:00
default,0.7108398178754226,2021-04-07T10:13:38+02:00
default,0.7108398178754226,2021-04-07T10:13:39+02:00
default,0.7108398178754226,2021-04-07T10:13:40+02:00
default,0.7108398178754226,2021-04-07T10:13:41+02:00
default,0.7108398178754226,2021-04-07T10:13:42+02:00
default,0.7108398178754226,2021-04-07T10:13:43+02:00
default,0.7108398178754226,2021-04-07T10:13:44+02:00
default,0.7108398178754226,2021-04-07T10:13:45+02:00
default,0.7108398178754226,2021-04-07T10:13:46+02:00
default,0.7108398178754226,2021-04-07T10:13:47+02:00
default,0.7108398178754226,2021-04-07T10:13:48+02:00
default,0.7108398178754226,2021-04-07T10:13:49+02:00
default,0.7108398178754226,2021-04-07T10:13:50+02:00
default,0.7108398178754226,2021-04-07T10:13:51+02:00
default,0.7108398178754226,2021-04-07T10:13:52+02:00
default,0.7108398178754226,2021-04-07T10:13:53+02:00
default,0.7108398178754226,2021-04-07T10:13:54+02:00
default,0.7108398178754226,2021-04-07T10:13:55+02:00
default,0.7071376748686852,2021-04-07T10:13:56+02:00
default,0.7071376748686852,2021-04-07T10:13:57+02:00
default,0.7071376748686852,2021-04-07T10:13:58+02:00
default,0.7071376748686852,2021-04-07T10:13:59+02:00
default,0.7071376748686852,2021-04-07T10:14:00+02:00
default,0.7071376748686852,2021-04-07T10:14:01+02:00
default,0.7071376748686852,2021-04-07T10:14:02+02:00
default,0.7071376748686852,2021-04-07T10:14:03+02:00
default,0.7071376748686852,2021-04-07T10:14:04+02:00
default,0.7071376748686852,2021-04-07T10:14:05+02:00
default,0.7071376748686852,2021-04-07T10:14:06+02:00
